Dags,Konnun,Flokkur,Fylgi
31.01.2008,Capacent,Sjálfstæðisflokkur,"41,2"
29.02.2008,Capacent,Sjálfstæðisflokkur,38
31.03.2008,Capacent,Sjálfstæðisflokkur,"37,2"
30.04.2008,Capacent,Sjálfstæðisflokkur,"37,1"
31.05.2008,Capacent,Sjálfstæðisflokkur,"33,4"
30.06.2008,Capacent,Sjálfstæðisflokkur,"33,4"
31.07.2008,Capacent,Sjálfstæðisflokkur,"31,9"
31.08.2008,Capacent,Sjálfstæðisflokkur,"32,1"
30.09.2008,Capacent,Sjálfstæðisflokkur,"31,1"
31.10.2008,Capacent,Sjálfstæðisflokkur,"26,2"
30.11.2008,Capacent,Sjálfstæðisflokkur,"20,6"
31.12.2008,Capacent,Sjálfstæðisflokkur,25
31.01.2009,Capacent,Sjálfstæðisflokkur,"24,4"
28.02.2009,Capacent,Sjálfstæðisflokkur,26
31.03.2009,Capacent,Sjálfstæðisflokkur,"26,6"
30.04.2009,Capacent,Sjálfstæðisflokkur,"24,7"
31.05.2009,Capacent,Sjálfstæðisflokkur,"25,1"
30.06.2009,Capacent,Sjálfstæðisflokkur,28
31.07.2009,Capacent,Sjálfstæðisflokkur,"28,9"
31.08.2009,Capacent,Sjálfstæðisflokkur,"28,8"
30.09.2009,Capacent,Sjálfstæðisflokkur,"29,1"
31.10.2009,Capacent,Sjálfstæðisflokkur,"32,7"
30.11.2009,Capacent,Sjálfstæðisflokkur,"31,7"
31.12.2009,Capacent,Sjálfstæðisflokkur,"33,2"
31.01.2010,Capacent,Sjálfstæðisflokkur,"33,2"
28.02.2010,Capacent,Sjálfstæðisflokkur,"32,2"
31.03.2010,Capacent,Sjálfstæðisflokkur,"33,2"
30.04.2010,Capacent,Sjálfstæðisflokkur,30
31.05.2010,Capacent,Sjálfstæðisflokkur,"30,2"
30.06.2010,Capacent,Sjálfstæðisflokkur,"33,1"
31.07.2010,Capacent,Sjálfstæðisflokkur,35
31.08.2010,Capacent,Sjálfstæðisflokkur,"34,6"
30.09.2010,Capacent,Sjálfstæðisflokkur,"35,4"
31.10.2010,Capacent,Sjálfstæðisflokkur,"35,5"
30.11.2010,Capacent,Sjálfstæðisflokkur,"33,9"
31.12.2010,Capacent,Sjálfstæðisflokkur,"33,8"
31.01.2011,Capacent,Sjálfstæðisflokkur,"34,3"
28.02.2011,Capacent,Sjálfstæðisflokkur,"35,5"
31.03.2011,Capacent,Sjálfstæðisflokkur,"35,8"
30.04.2011,Capacent,Sjálfstæðisflokkur,"35,7"
31.05.2011,Capacent,Sjálfstæðisflokkur,35
30.06.2011,Capacent,Sjálfstæðisflokkur,"35,5"
31.07.2011,Capacent,Sjálfstæðisflokkur,"35,9"
31.08.2011,Capacent,Sjálfstæðisflokkur,"35,6"
30.09.2011,Capacent,Sjálfstæðisflokkur,"36,1"
31.10.2011,Capacent,Sjálfstæðisflokkur,"35,9"
30.11.2011,Capacent,Sjálfstæðisflokkur,38
31.12.2011,Capacent,Sjálfstæðisflokkur,"38,4"
31.01.2012,Capacent,Sjálfstæðisflokkur,"36,1"
29.02.2012,Capacent,Sjálfstæðisflokkur,"33,3"
31.03.2012,Capacent,Sjálfstæðisflokkur,"38,2"
30.04.2012,Capacent,Sjálfstæðisflokkur,37
31.05.2012,Capacent,Sjálfstæðisflokkur,"39,3"
30.06.2012,Capacent,Sjálfstæðisflokkur,"38,2"
31.07.2012,Capacent,Sjálfstæðisflokkur,"36,9"
31.08.2012,Capacent,Sjálfstæðisflokkur,36
30.09.2012,Capacent,Sjálfstæðisflokkur,"37,1"
31.10.2012,Capacent,Sjálfstæðisflokkur,"36,2"
30.11.2012,Capacent,Sjálfstæðisflokkur,"35,9"
31.12.2012,Capacent,Sjálfstæðisflokkur,"36,3"
31.01.2013,Capacent,Sjálfstæðisflokkur,"35,5"
28.02.2013,Capacent,Sjálfstæðisflokkur,"29,7"
14.03.2013,Capacent,Sjálfstæðisflokkur,"26,8"
02.04.2013,Capacent,Sjálfstæðisflokkur,"22,4"
11.04.2013,Capacent,Sjálfstæðisflokkur,"22,2"
18.04.2013,Capacent,Sjálfstæðisflokkur,"24,1"
26.04.2013,Capacent,Sjálfstæðisflokkur,"27,9"
31.05.2013,Capacent,Sjálfstæðisflokkur,26
30.06.2013,Capacent,Sjálfstæðisflokkur,"27,1"
31.07.2013,Capacent,Sjálfstæðisflokkur,"26,4"
31.08.2013,Capacent,Sjálfstæðisflokkur,"27,9"
30.09.2013,Capacent,Sjálfstæðisflokkur,"26,8"
31.10.2013,Capacent,Sjálfstæðisflokkur,"26,5"
30.11.2013,Capacent,Sjálfstæðisflokkur,"26,8"
31.12.2013,Capacent,Sjálfstæðisflokkur,"25,3"
31.01.2014,Capacent,Sjálfstæðisflokkur,"26,9"
31.05.2004,Capacent,Frjálslyndir,"5,5"
30.06.2004,Capacent,Frjálslyndir,"4,8"
31.07.2004,Capacent,Frjálslyndir,"5,3"
31.08.2004,Capacent,Frjálslyndir,"4,4"
30.09.2004,Capacent,Frjálslyndir,"4,1"
31.10.2004,Capacent,Frjálslyndir,"4,1"
30.11.2004,Capacent,Frjálslyndir,"4,1"
31.12.2004,Capacent,Frjálslyndir,"3,6"
31.01.2005,Capacent,Frjálslyndir,"4,1"
28.02.2005,Capacent,Frjálslyndir,"4,1"
31.03.2005,Capacent,Frjálslyndir,6
30.04.2005,Capacent,Frjálslyndir,"6,1"
31.05.2005,Capacent,Frjálslyndir,"4,6"
